,,,,IMG,,UTM,,,,,,,,
ID,CAMERA,FILE,COLOR,X,Y,X,Y,,,,,,,
1,CAM1,20260526_0930,V,1190,2172,"706679,104","4220654,428",,,,,,,
2,CAM1,20260526_0930,A,1745,2108,"706675,3","4220647,915",,,IMG:,X=0,Esquina superior izquierda,,
3,CAM1,20260526_0930,V,2097,2061,"706673,24","4220642,837",,,,Y=0,,,
4,CAM1,20260526_0930,A,2505,2001,"706670,283","4220636,505",,,,,,,
5,CAM1,20260526_0930,A,3238,1866,"706664,847","4220620,532",,,,,,,
6,CAM1,20260526_0930,A,3597,1809,"706661,84","4220610,907",,,,,,,
7,CAM1,20260526_0930,A,3969,1752,"706657,627","4220600,204",,,UTM:,Ascenso en la coordenadas,,,En X hacia el Este
8,CAM1,20260526_0930,A,4207,1705,"706654,812","4220590,093",,,,,,,En Y hacia el Norte
9,CAM1,20260526_0930,V,4309,1680,"706653,586","4220584,44",,,,,,,
10,CAM1,20260526_0930,V,4482,1631,"706651,38","4220573,504",,,,,,,
11,CAM1,20260526_0940,V,1080,2236,"706676,62","4220657,187",,,,,,,
12,CAM1,20260526_0940,A,1697,2140,"706673,565","4220649,981",,,,,,,
13,CAM1,20260526_0940,V,2134,2087,"706671,179","4220644,162",,,,,,,
14,CAM1,20260526_0940,A,2613,2025,"706667,461","4220637,082",,,,,,,
15,CAM1,20260526_0940,A,3509,1877,"706660,454","4220618,922",,,,,,,
16,CAM1,20260526_0940,A,3814,1825,"706657,74","4220610,673",,,,,,,
17,CAM1,20260526_0940,A,4112,1762,"706654,679","4220600,34",,,,,,,
18,CAM1,20260526_0940,A,4348,1713,"706651,944","4220590,281",,,,,,,
19,CAM1,20260526_0940,V,4464,1680,"706650,665","4220583,615",,,,,,,
20,CAM1,20260526_0950,V,1051,2304,"706674,048","4220659,193",,,,,,,
21,CAM1,20260526_0950,A,1752,2203,"706670,087","4220652,137",,,,,,,
22,CAM1,20260526_0950,V,2378,2106,"706666,882","4220643,59",,,,,,,
23,CAM1,20260526_0950,A,2790,2044,"706664,021","4220637,758",,,,,,,
24,CAM1,20260526_0950,A,3671,1897,"706657,585","4220619,767",,,,,,,
